"
   2022-11-22 
","
المؤسسة العامة للتدريب التقني والمهني
","
 أعلنت الكلية التقنية بالرياض مُمثلة في مكتب التنسيق الوظيفي بالكلية، لقاء توظيف مع الشركة المتحدة للإلكترونيات (اكسترا) يوم الأربعاء 2022/11/23م، وذلك وفقاً للتفاصيل وطريقة التقديم الموضحة أدناه. 






التخصصات المطلوبة
- دبلوم (محاسبة، تسويق، دعم فني). 

الشروط:
- إحضار السيرة الذاتية وصورة الشهادة وصورة بطاقة.
- الأحوال وصورة من عضوية المهندسين (إن وجدت). 

الموعد:
- يوم الأربعاء 2022/11/23م (من الساعة 9:00 صباحاً إلى 1:00 ظهراً). 






المكان:
- مبنى (1) - المسرح. 

التفاصيل:
اضغط هن 

المصدر

",,https://twitter.com/tvtc_g_riyadh/status/1594937757016662017
"
   2022-11-22 
","
الهيئة الملكية
","
 أعلنت الهيئة الملكية توفر وظائف شاغرة عبر برنامج التأهيل والإحلال (برواتب تصل 11,000 ريال)، للعمل بشركات القطاع الخاص، لحملة (الشهادة الكفاءة، الثانوية، الدبلوم، البكالوريوس)، وذلك وفقاً لبقية التفاصيل وطريقة التقديم الموضحة أدناه. 






الوظائف:
- مساعد إداري.
- موظف استقبال.
- موظف مشتريات.
- مراقب عمال.
- محاسب.
- فني هاتف.
- مدير مشروع.
- فني سنترال.
- سكرتير.
- فني أعمال كهربائية.
- فني مولدات.
- مراقب عمال طرق.
- فني دعم.
- مطوّر تطبيقات أوراكل.
- كهربائي الفولطية المتوسطة.
- مشغل حاسب ألي.
- مهندس مدني.
- مشغل حاسب آلي.
- مفتش التصاريح.
- مشغل معدات ثقيلة.
- مهندس ميداني.
- فني شبكات.
- حرفي في الورشة.
- مشغل معدات ثقيلة.
- فني معدات.
- كبير الميكانيكيين. 

أماكن العمل:
- الجبيل.
- جازان.
- رأس الخير. 

المؤهلات المطلوبة:
- الكفاءة.
- الثانوية.
- الدبلوم.
- البكالوريوس أعلى. 






نبذة عن البرنامج:
- برنامج التأهيل و الإحلال بالهيئة الملكية بالجبيل الصناعية هو برنامج بأشراف مباشر من الرئيس التنفيذي للهيئة الملكية للقيام بالدور المساعد والمنسق لتحقيق رؤية الهيئة الملكية بتوطين الوظائف بمدينة الجبيل الصناعية. 

موعد التقديم:
- التقديم مُتاح الآن بدأ اليوم الثلاثاء بتاريخ 1444/04/28هـ الموافق 2022/11/22م. 

طريقة التقديم:
- من خلال الرابط التالي:
اضغط هنا 

رابط التقديم

",,https://cutl.link/eclb4
"
   2022-11-21 
","
شركة أغذية الحمية (دايت سنتر)
","
 أعلنت شركة أغذية الحمية (دايت سنتر) توفر وظائف (رجال / نساء) لحملة الثانوية فأعلى في (الرياض) و (الخبر)، وذلك وفقاً للتفاصيل وطريقة التقديم الموضحة أدناه. 






الوظائف:
1- أمين مستودع (الرياض):
- ثانوي فما فوق.
- خبرة في نفس القسم لمدة سنة على الأقل.
- لغة انجليزية جيدة.
- لديه مهارة التنظيم. 

2- مقدمة طعام (الخبر، الرياض):
- مهارة تواصل عالية.
- مظهر لائق.
- أساسيات اللغة الإنجليزية. 

3- موظف تعبئة وتغليف (الرياض):
- مهارة تواصل عالية.
- مهارة التنظيم. 






4- مشرف صيانة السيارات:
- إجادة استخدام الحاسب الآلي.
- معرفة بصيانة السيارات وقطع الغيار.
- إجادة اللغة الإنجليزية. 

موعد التقديم:
- التقديم مُتاح الآن بدأ اليوم الثلاثاء بتاريخ 1444/4/27هـ الموافق 2022/11/21م وينتهي عند الاكتفاء بالعدد المطلوب. 

طريقة التقديم:
- تُرسل السيرة الذاتية إلى البريد الإلكتروني التالي (مع كتابة مسمى الوظيفة + المدينة في عنوان البريد):
Careers@dietcenter.com.sa 

البريد Careers@dietcenter.com.sa

",,mailto:Careers@dietcenter.com.sa
"
   2022-11-21 
","
مجموعة الشايع الدولية
","
 أعلنت مجموعة الشايع الدولية توفر عدد من الوظائف الشاغرة في مجال الملابس, العطور والمكياج بمدينة (الرياض) وذلك لقسم المبيعات وإدارة المعارض علماً بأن المقابلات سوف تكون في فرع الشركة الرئيسي في البوابة الاقتصادية، وذلك وفقاً للتفاصيل وطريقة التقديم الموضحة أدناه. 






الشروط:
1- اللباقة وحسن المظهر.
2- المرونة في أوقات العمل.
3- أن يكون التقدم على شاغر مدير معرض لدية خبره لا تقل عن 3 سنوات في إدارة المعارض.
4- أن تكون المتقدمة على شاغر خبيرة تجميل لديها خبره لا تقل عن سنة.
 
المزايا والحقوق الوظيفية:
1- عمولات شهريه (حسب سياسة الشركة).
2- تأمين طبي للموظف.
3- دورات تدريبية و تطويرية.
4- بطاقة تخفيض على جميع العلامات التجارية التابعة للشركة.
5- إمكانية التطور الوظيفي بناءً على مسار وظيفي واضح. 

موعد المقابلات الوظيفية:
- سوف يكون موعد المقابلات الأربعاء الموافق 2022/11/23م الساعة 10 صباحاً. 

مكان المقابلات الوظيفية:
- مدينة الرياض  - في مقر الشركة الرئيسي  - البوابة الاقتصادية - بوابة رقم 5. 






خريطة الموقع (Google Map):
اضغط هنا 


",اضغط هنا,"<div class=""text-center mb-3"">
</div>"
"
   2022-11-21 
","
إمارة منطقة المدينة المنورة
","
 أعلنت إمارة منطقة المدينة المنورة توفر عدد من الوظائف الإدارية (نساء) على المرتبة (التاسعة) عن طريق التعاقد، وذلك وفقاً 






المسمى الوظيفي:
- أخصائي بحث قضايا ممارس أول - عدد 3 وظائف (المرتبة التاسعة). 

التفاصيل:
اضغط هنا
موعد التقديم:
- يبدأ التقديم بمشيئة الله يوم الأحد بتاريخ 1444/05/03هـ الموافق 2022/11/27م وينتهي التقديم يوم الخميس بتاريخ 1444/05/07هـ الموافق 2022/12/01م. 






طريقة التقديم:
- من خلال الرابط التالي:
اضغط هنا 

رابط التقديم
المصدر

",اضغط هنا,https://eservices.masar.sa/Jadara/index.html
"
   2022-11-21 
","
شركة ثقة لخدمات الأعمال
","
 أعلنت شركة ثقة لخدمات الأعمال (ثقة) عبر موقعها الإلكتروني (بوابة التوظيف) توفر وظائف إدارية وهندسية وتقنية بالرياض، وذلك وفقاً لبقية التفاصيل الموضحة أدناه. 






الوظائف:
1- أخصائي إدارة المواهب.
2- أخصائي أول المبيعات.
3- قائد الفريق تجربة العلامة التجارية.
4- أخصائي أول المبيعات الإقليمية.
5- قائد الفريق تطوير الأعمال.
6- أخصائي عمليات شركاء الأعمال. 

التخصصات المطلوبة:
- الموارد البشرية.
- إدارة الأعمال.
- تقنية المعلومات.
- علوم الحاسب.
- التسويق.
- الإعلان.
- الهندسة.
- أو ما يعادلها. 

نبذة عن الشركة:
- شركة ثقة لخدمات الأعمال هي شركة حكومية 100% وتمتلكها هيئة المدن الصناعية ومناطق التقنية، والهيئة السعودية للمحاسبين القانونيين، ومنذ انطلاقتها الأولى، تعد شركة ثقة اسماً بارزاً في تقديم الحلول الذكية والإبداعية لقطاع الأعمال. 






موعد التقديم:
- التقديم مُتاح الآن بدأ اليوم الإثنين بتاريخ 1444/04/27هـ الموافق 2022/11/21م وينتهي عند الاكتفاء بالعدد المطلوب. 

طريقة التقديم:
- لمعرفة بقية الشروط والمهارات والوصف الوظيفي وللتقديم من خلال الرابط التالي:
اضغط هنا 

رابط التقديم
المصدر

",,https://careers.thiqah.sa/jobs
"
   2022-11-21 
","
شركة تكافل الراجحي
","
 أعلنت شركة تكافل الراجحي عبر حسابها الرسمي بموقع لينكد إن لخدمات التوظيف (™ LinkedIn) توفر وظائف إدارية وتقنية ومالية لحملة البكالوريوس بالرياض، وذلك وفقاً لبقية التفاصيل الموضحة أدناه. 






الوظائف:
1- محاسب:
- درجة البكالوريوس في تخصص (المحاسبة).
- لا تشترط وجود خبرة سابقة. 

2- مساعد مدير - أمن المعلومات:
- درجة البكالوريوس في تخصص (علوم الحاسب) أو ما يعادلها.
- خبرة لا تقل عن 4 سنوات في مجال أمن المعلومات. 

3- مساعد مدير - التدقيق الداخلي:
- درجة البكالوريوس في تخصص (المحاسبة، إدارة الأعمال) أو ما يعادلها.
- خبرة لا تقل عن 4 سنوات في مجال ذات صلة. 






4- مساعد مدير - مكتب إدارة المشاريع:
- درجة البكالوريوس في تخصص مناسب.
- خبرة لا تقل سنتين في مجال إدارة المشاريع. 

5- مساعد مدير - مدير حساب:
- درجة البكالوريوس في تخصص (التأمين) أو ما يعادلها.
- القدرة على إدارة المشاريع والعلاقات المتعددة في نفس الوقت. 

موعد التقديم:
- التقديم مُتاح الآن بدأ اليوم الإثنين بتاريخ 1444/04/27هـ الموافق 2022/11/21م وينتهي عند الاكتفاء بالعدد المطلوب. 

طريقة التقديم:
- لمعرفة بقية الشروط والمهارات والوصف الوظيفي وللتقديم من خلال الرابط التالي (يتطلب إنشاء حساب بموقع لينكد إن لخدمات التوظيف (™ LinkedIn) قبل التقديم على الوظيفة):
اضغط هنا 

رابط التقديم

",,https://www.linkedin.com/jobs/search/?currentJobId=3348500867&f_C=1674600&geoId=92000000
"
   2022-11-21 
","
جمعية عنيزة للخدمات الإنسانية
","
 أعلنت جمعية عنيزة للخدمات الإنسانية (تأهيل) مُمثلة في إدارة الموارد البشرية فتح مجال التوظيف (رجال / نساء) عدد من المجالات الوظيفية، وذلك وفقاً للتفاصيل الموضحة أدناه. 






الوظائف:
- معلم تربية خاصة.
- أخصائي نفسي.
- أخصائي علاج وظيفي.
- أخصائي موارد بشرية.
- معلم تربية خاصة.
- أمين عهدة.
- أخصائي علاج طبيعي.
- أخصائي نطق وتخاطب. 

التفاصيل:
اضغط هنا
موعد التقديم:
- التقديم مُتاح الآن بدأ اليوم الإثنين بتاريخ 1444/04/27هـ الموافق 2022/11/21م. 






طريقة التقديم:
- من خلال الرابط التالي:
اضغط هنا 

رابط التقديم
المصدر

",اضغط هنا,https://docs.google.com/forms/d/e/1FAIpQLScJRKRxnqBQZvhqMxyeE4sLX9yzQyfwkwAzC_MJBbg3fDqsiQ/viewform
"
   2022-11-21 
","
الهيئة العامة للطيران المدني
","
 أعلنت الهيئة العامة للطيران المدني عبر موقعها الإلكتروني (بوابة التوظيف) توفر وظائف شاغرة لحملة البكالوريوس بالرياض، وذلك وفقاً لبقية التفاصيل الموضحة أدناه. 






الوظائف:
1- مدير المخاطر.
2- كبير أخصائي الحوكمة والالتزام.
3- مدير استمرارية الأعمال. 

التخصصات المطلوبة:
- إدارة الأعمال.
- الهندسة الصناعية.
- علوم الطيران.
- القانون.
- أو ما يعادلها. 

كامل التفاصيل (PDF):
اضغط هنا 






موعد التقديم:
- التقديم مُتاح الآن بدأ اليوم الإثنين بتاريخ 1444/04/27هـ الموافق 2022/11/21م. 

طريقة التقديم:
- تُرسل السيرة الذاتية إلى البريد الإلكتروني التالي (مع كتابة مسمى الوظيفة في عنوان البريد):
gkalgadi@gaca.gov.sa 

البريد gkalgadi@gaca.gov.sa

",,mailto:gkalgadi@gaca.gov.sa
"
   2022-11-21 
","
شركة التعاونية للتأمين
","
 أعلنت شركة التعاونية للتأمين عبر حسابها الرسمي بموقع لينكد إن لخدمات التوظيف (™ LinkedIn) توفر فرص وظيفية لحملة البكالوريوس بمدينة الرياض، وذلك وفقاً للمواعيد وطريقة التقديم الموضحة أدناه. 






الوظائف:
1- باحث تجربة المستخدم:
- درجة البكالوريوس في تخصص (علوم الحاسب، هندسة البرمجيات، علم المعلومات) أو ما يعادلها.
- خبرة لا تقل عن سنتين في مجال تجربة المستخدم. 

2- مُحلل إدارة المنتجات:
- درجة البكالوريوس في تخصص (التسويق، نظم المعلومات الإدارية، إدارة الأعمال).
- خبرة لا تقل عن سنة في تحليل البيانات أو تطوير الأعمال أو التصميم الجرافيكي. 

نبذة عن الشركة (ويكيبيديا):
- شركة التعاونية للتأمين هي شركة مساهمة سعودية، تأسست عام 1985م، برأس مال نصف مليار ريال سعودي، ويتمثل النشاط الرئيس للشركة في تقديم خدمات تأمين السيارات، التأمين البحري، تأمين الحريق، التأمين الطبي، التأمين الهندسي، تأمين الطيران، وتأمين التكافل والحوادث المتنوعة. 






موعد التقديم:
- التقديم مُتاح الآن بدأ اليوم الإثنين بتاريخ 1444/04/27هـ الموافق 2022/11/21م وينتهي عند الاكتفاء بالعدد المطلوب. 

طريقة التقديم:
- لمعرفة بقية الشروط والمهارات والوصف الوظيفي وللتقديم من خلال الرابط التالي (يتطلب إنشاء حساب بموقع لينكد إن لخدمات التوظيف (™ LinkedIn) قبل التقديم على الوظيفة):
1- باحث تجربة المستخدم:
اضغط هنا
2- مُحلل إدارة المنتجات:
اضغط هنا 


",,"<div class=""text-center mb-3"">
</div>"
"
   2022-11-21 
","
شركة مختبرات أبوت
","
 أعلنت شركة مختبرات أبوت عبر موقعها الإلكتروني (بوابة التوظيف) توفر فرص تدريب وتوظيف في (6 مدن بالمملكة)، وذلك وفقاً لبقية التفاصيل الموضحة أدناه. 






أماكن العمل:
- (الرياض، مكة المكرمة، المدينة المنورة، جدة، الدمام، أبها). 

الشروط:
1- سعودي الجنسية.
2- درجة البكالوريوس في تخصص (التغذية العلاجية، علوم الغذاء، الأحياء، الكيمياء، الكيمياء الحيوية) أو ما يعادلها.
3- إجادة اللغة الإنجليزية (تحدثاً وكتابة). 

نبذة عن الشركة (ويكيبيديا):
- مختبرات أبوت هي شركة رعاية صحية أمريكية عالمية لديها 74,000 موظف وتعمل في أكثر من 150 بلدا، يقع مقر الشركة في ليك بلوفت (إلينوي) تأسست الشركة من قبل الطبيب (والاس كالفين أبوت) في عام 1888م لتركيب الأدوية المعروفة، نمت الشركة لتبيع الأدوية القائمة على البحوث والأجهزة الطبية وفحوص التشخيص والمنتجات الغذائية. 






طريقة التقديم:
- من خلال الرابط التالي:
اضغط هنا 

رابط التقديم
المصدر

",اضغط هنا,https://cutl.link/uhiav
Date,company_name,title,email,Link
"
   2022-11-24 
","
وكالة شؤون الأفواج الأمنية
","
 أعلنت وكالة شؤون الأفواج الأمنية مُمثلة في الإدارة العامة للقبول المركزي بوكالة وزارة الداخلية للشؤون العسكرية عن فتح باب القبول والتسجيل على الوظائف العسكرية لوكالة وزارة الداخلية لشؤون الأفواج الأمنية (رجال) على رتبة (جندي)، وذلك وفقاً للتفاصيل وطريقة التقديم الموضحة أدناه. 






الرتبة:
- جندي. 

الشروط:
1- أن يكون المتقدم سعودي الأصل والمنشأ ويستثنى من ذلك من نشأ مع والديه أثناء خـدمة الدولة خارج المملكة.
2- أن يكون المتقدم حسن السيرة والسلـوك والسمعة وغير محكوم عليه بالإدانة في جـريمة مخلة بالشرف والأمانة.
3- أن لا يكون المتقدم سبق له التعيين على وظيفة خاضعة لنظام الخدمة العسكرية أو أنهيت خدماته من أحد الكليات  أو المراكز أو المعاهد العسكرية لأي سبب أو موظف في جهة حكومية.  
4- ألا يكون متزوجاً من غير سعودية.
5- أن يجتاز المتقدم كافة إجراءات واختبارات القبول.
6- أن يتناسب الطول مع الوزن حسب اللائحة الطبية. 

ملاحظة:
- تعبأ الحقول بمنتهى الدقة وسوف يتم استبعاد كل من يوجد لديه اختلاف في بيانات التسجيل حسب الشروط المعتمدة . 






موعد التقديم:
- يبدأ التقديم بمشيئة الله يوم السبت بتاريخ 1444/05/02هـ الموافق 2022/11/26م وينتهي التقديم يوم الخميس بتاريخ 1444/05/07هـ الموافق 2022/12/01م. 

طريقة التقديم:
- من خلال الرابط التالي:
اضغط هنا 

رابط التقديم

",,https://cutl.link/1aaq7
